no;id;nearc2;nearc4;educ;age;fatheduc;motheduc;weight;momdad14;sinmom14;step14;reg661;reg662;reg663;reg664;reg665;reg666;reg667;reg668;reg669;south66;black;smsa;south;smsa66;wage;enroll;KWW;IQ;married;libcrd14;exper;lwage;expersq;region
1;2;0;0;7;29;NA;NA;158413;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;548;0;15;NA;1;0;16;6.306275368;256;661
2;3;0;0;12;27;8;8;380166;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;481;0;35;93;1;1;9;6.175867081;81;661
3;4;0;0;12;34;14;12;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;721;0;42;103;1;1;16;6.580639362;256;661
4;5;1;1;11;27;11;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;250;0;25;88;1;1;10;5.52146101;100;662
5;6;1;1;12;34;8;7;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;729;0;34;108;1;0;16;6.591673851;256;662
6;7;1;1;12;26;9;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;500;0;38;85;1;1;8;6.214608192;64;662
7;8;1;1;18;33;14;14;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;565;0;41;119;1;1;9;6.336825848;81;662
8;9;1;1;14;29;14;14;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;608;0;46;108;1;1;9;6.410174847;81;662
9;10;1;1;12;28;12;12;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;425;0;32;96;4;0;10;6.052089214;100;662
10;11;1;1;12;29;12;12;480445;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;515;0;34;97;1;1;11;6.244166851;121;662
11;12;1;1;9;28;11;12;380166;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;225;0;29;84;1;0;13;5.416100502;169;669
12;13;1;1;12;26;11;6;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;400;0;34;89;1;1;8;5.991464615;64;662
13;14;1;1;11;24;11;6;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;417;0;22;93;1;1;7;6.0330863;49;662
14;15;1;1;11;30;11;6;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;217;0;27;74;1;0;13;5.379897118;169;662
15;16;1;1;16;31;NA;8;648053;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;894;0;43;116;1;1;9;6.795705795;81;662
